ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス,,,,
基準日,基準価額(円),基準価額（分配金再投資）(円),分配金（税引前）(円),純資産総額（億円）
2017/2/27,9914,9914,,0.01
2017/2/28,9954,9954,,0.01
2017/3/1,9985,9985,,0.09
2017/3/2,10184,10184,,0.15
2017/3/3,10161,10161,,0.28
2017/3/6,10140,10140,,0.53
2017/3/7,10119,10119,,0.59
2017/3/8,10089,10089,,0.7
2017/3/9,10122,10122,,0.76
2017/3/10,10191,10191,,0.83
2017/3/13,10206,10206,,0.87
2017/3/14,10222,10222,,0.94
2017/3/15,10178,10178,,1.15
2017/3/16,10146,10146,,1.2
2017/3/17,10184,10184,,1.29
2017/3/21,10069,10069,,1.34
2017/3/22,9913,9913,,1.71
2017/3/23,9886,9886,,1.82
2017/3/24,9884,9884,,1.91
2017/3/27,9817,9817,,2.04
2017/3/28,9836,9836,,2.2
2017/3/29,9914,9914,,2.31
2017/3/30,9960,9960,,2.45
2017/3/31,10049,10049,,2.54
2017/4/3,9954,9954,,2.6
2017/4/4,9863,9863,,2.63
2017/4/5,9889,9889,,2.87
2017/4/6,9851,9851,,2.91
2017/4/7,9897,9897,,2.94
2017/4/10,9925,9925,,2.97
2017/4/11,9887,9887,,3.03
2017/4/12,9771,9771,,3.04
2017/4/13,9699,9699,,3.07
2017/4/14,9664,9664,,3.04
2017/4/17,9587,9587,,3.07
2017/4/18,9728,9728,,3.12
2017/4/19,9637,9637,,3.09
2017/4/20,9662,9662,,3.25
2017/4/21,9746,9746,,3.3
2017/4/24,9805,9805,,3.39
2017/4/25,9943,9943,,3.51
2017/4/26,10135,10135,,3.66
2017/4/27,10132,10132,,3.71
2017/4/28,10119,10119,,3.89
2017/5/1,10128,10128,,3.91
2017/5/2,10181,10181,,3.95
2017/5/8,10352,10352,,4.02
2017/5/9,10390,10390,,4.35
2017/5/10,10435,10435,,4.45
2017/5/11,10484,10484,,4.48
2017/5/12,10431,10431,,4.57
2017/5/15,10397,10397,,4.74
2017/5/16,10487,10487,,4.82
2017/5/17,10404,10404,,4.79
2017/5/18,10116,10116,,4.73
2017/5/19,10142,10142,,4.81
2017/5/22,10242,10242,,5.07
2017/5/23,10260,10260,,5.22
2017/5/24,10326,10326,,5.37
2017/5/25,10342,10342,,5.42
2017/5/26,10374,10374,,5.48
2017/5/29,10323,10323,,5.48
2017/5/30,10290,10290,,5.55
2017/5/31,10272,10272,,5.54
2017/6/1,10283,10283,,5.63
2017/6/2,10409,10409,,5.79
2017/6/5,10353,10353,,5.86
2017/6/6,10308,10308,,5.86
2017/6/7,10214,10214,,5.76
2017/6/8,10258,10258,,5.83
2017/6/9,10247,10247,,6.08
2017/6/12,10279,10279,,6.16
2017/6/13,10230,10230,,6.15
2017/6/14,10292,10292,,6.33
2017/6/15,10247,10247,,6.32
2017/6/16,10328,10328,,6.42
2017/6/19,10353,10353,,6.56
2017/6/20,10496,10496,,6.7
2017/6/21,10383,10383,,6.91
2017/6/22,10349,10349,,6.94
2017/6/23,10376,10376,,6.97
2017/6/26,10386,10386,,7.05
2017/6/27,10460,10460,,7.15
2017/6/28,10433,10433,,7.34
2017/6/29,10540,10540,,7.45
2017/6/30,10431,10431,,7.37
2017/7/3,10438,10438,,7.41
2017/7/4,10563,10563,,7.65
2017/7/5,10540,10540,,7.75
2017/7/6,10543,10543,,7.76
2017/7/7,10500,10500,,7.82
2017/7/10,10620,10620,,7.95
2017/7/11,10645,10645,,8.01
2017/7/12,10597,10597,,8.12
2017/7/13,10642,10642,,8.32
2017/7/14,10691,10691,,8.4
2017/7/18,10646,10646,,8.43
2017/7/19,10600,10600,,8.46
2017/7/20,10651,10651,,8.85
2017/7/21,10681,10681,,9.04
2017/7/24,10547,10547,,9.12
2017/7/25,10569,10569,,9.22
2017/7/26,10662,10662,,9.46
2017/7/27,10605,10605,,9.58
2017/7/28,10598,10598,,9.64
2017/7/31,10508,10508,,9.66
2017/8/1,10509,10509,,9.78
2017/8/2,10558,10558,,9.96
2017/8/3,10589,10589,,10.13
2017/8/4,10512,10512,,10.67
2017/8/7,10590,10590,,10.82
2017/8/8,10610,10610,,10.85
2017/8/9,10512,10512,,10.91
2017/8/10,10508,10508,,11
2017/8/14,10296,10296,,10.83
2017/8/15,10461,10461,,11.65
2017/8/16,10497,10497,,11.94
2017/8/17,10476,10476,,12.11
2017/8/18,10296,10296,,11.98
2017/8/21,10257,10257,,12.05
2017/8/22,10249,10249,,12.19
2017/8/23,10381,10381,,12.68
2017/8/24,10309,10309,,12.69
2017/8/25,10362,10362,,12.9
2017/8/28,10333,10333,,12.89
2017/8/29,10303,10303,,12.94
2017/8/30,10385,10385,,13.04
2017/8/31,10467,10467,,14.03
2017/9/1,10520,10520,,14.63
2017/9/4,10514,10514,,14.77
2017/9/5,10482,10482,,15.26
2017/9/6,10340,10340,,15.05
2017/9/7,10415,10415,,15.63
2017/9/8,10378,10378,,15.62
2017/9/11,10369,10369,,15.76
2017/9/12,10566,10566,,16.11
2017/9/13,10671,10671,,16.28
2017/9/14,10704,10704,,16.43
2017/9/15,10666,10666,,16.46
2017/9/19,10823,10823,,16.68
2017/9/20,10856,10856,,16.86
2017/9/21,10926,10926,,17.17
2017/9/22,10892,10892,,17.01
2017/9/25,10931,10931,,17.1
2017/9/26,10801,10801,,16.53
2017/9/27,10862,10862,,16.87
2017/9/28,10948,10948,,16.59
2017/9/29,10951,10951,,16.67
2017/10/2,10998,10998,,16.68
2017/10/3,11045,11045,,16.57
2017/10/4,11043,11043,,16.74
2017/10/5,11059,11059,,16.73
2017/10/6,11102,11102,,16.79
2017/10/10,11076,11076,,16.95
2017/10/11,11070,11070,,17.1
2017/10/12,11113,11113,,17.56
2017/10/13,11087,11087,,17.6
2017/10/16,11074,11074,,17.68
2017/10/17,11091,11091,,17.79
2017/10/18,11089,11089,,18.1
2017/10/19,11192,11192,,18.24
2017/10/20,11162,11162,,18.29
2017/10/23,11294,11294,,18.67
2017/10/24,11215,11215,,18.81
2017/10/25,11266,11266,,19.09
2017/10/26,11189,11189,,19.28
2017/10/27,11243,11243,,19.59
2017/10/30,11273,11273,,19.79
2017/10/31,11203,11203,,19.76
2017/11/1,11289,11289,,20.28
2017/11/2,11331,11331,,20.48
2017/11/6,11381,11381,,20.69
2017/11/7,11338,11338,,20.83
2017/11/8,11322,11322,,21.15
2017/11/9,11363,11363,,21.43
2017/11/10,11261,11261,,21.36
2017/11/13,11262,11262,,21.51
2017/11/14,11262,11262,,21.66
2017/11/15,11231,11231,,21.73
2017/11/16,11133,11133,,21.61
2017/11/17,11207,11207,,21.91
2017/11/20,11102,11102,,21.91
2017/11/21,11170,11170,,22.2
2017/11/22,11211,11211,,22.49
2017/11/24,11137,11137,,22.62
2017/11/27,11190,11190,,22.89
2017/11/28,11102,11102,,22.87
2017/11/29,11243,11243,,23.59
2017/11/30,11278,11278,,23.78
2017/12/1,11384,11384,,24.12
2017/12/4,11376,11376,,24.35
2017/12/5,11358,11358,,24.37
2017/12/6,11310,11310,,24.35
2017/12/7,11294,11294,,24.34
2017/12/8,11398,11398,,25.01
2017/12/11,11500,11500,,25.52
2017/12/12,11520,11520,,25.7
2017/12/13,11530,11530,,26.02
2017/12/14,11485,11485,,26.13
2017/12/15,11388,11388,,26.1
2017/12/18,11476,11476,,26.65
2017/12/19,11550,11550,,26.81
2017/12/20,11564,11564,,27.72
2017/12/21,11570,11570,,28
2017/12/22,11628,11628,,28.58
2017/12/25,11599,11599,,28.72
2017/12/26,11620,11620,,28.86
2017/12/27,11616,11616,,28.85
2017/12/28,11645,11645,,28.92
2017/12/29,11625,11625,,30
2018/1/4,11702,11702,,30.36
2018/1/5,11796,11796,,31.14
2018/1/9,11909,11909,,33.74
2018/1/10,11848,11848,,34.6
2018/1/11,11728,11728,,35.75
2018/1/12,11776,11776,,37.03
2018/1/15,11836,11836,,38.19
2018/1/16,11850,11850,,38.88
2018/1/17,11780,11780,,38.66
2018/1/18,11925,11925,,40.69
2018/1/19,11907,11907,,41.31
2018/1/22,11922,11922,,42.03
2018/1/23,12029,12029,,42.96
2018/1/24,11986,11986,,44.07
2018/1/25,11913,11913,,44.7
2018/1/26,11925,11925,,45.47
2018/1/29,11927,11927,,46.55
2018/1/30,11887,11887,,46.93
2018/1/31,11755,11755,,47.6
2018/2/1,11802,11802,,47.79
2018/2/2,11825,11825,,48.66
2018/2/5,11638,11638,,49.01
2018/2/6,11158,11158,,47.63
2018/2/7,11232,11232,,48.87
2018/2/8,11220,11220,,49.76
2018/2/9,10836,10836,,49.19
2018/2/13,11027,11027,,51.42
2018/2/14,10959,10959,,51.54
2018/2/15,11019,11019,,53.69
2018/2/16,11089,11089,,54.8
2018/2/19,11104,11104,,56.88
2018/2/20,11133,11133,,58.2
2018/2/21,11165,11165,,58.36
2018/2/22,11110,11110,,60.9
2018/2/23,11075,11075,,61.31
2018/2/26,11189,11189,,62.69
2018/2/27,11297,11297,,64.01
2018/2/28,11224,11224,,64.69
2018/3/1,11030,11030,,64.26
2018/3/2,10874,10874,,64.44
2018/3/5,10790,10790,,65.03
2018/3/6,10965,10965,,67.24
2018/3/7,10951,10951,,68.46
2018/3/8,11005,11005,,69.47
2018/3/9,11115,11115,,70.87
2018/3/12,11286,11286,,72.57
2018/3/13,11235,11235,,72.95
2018/3/14,11203,11203,,74.51
2018/3/15,11087,11087,,74.38
2018/3/16,11097,11097,,74.6
2018/3/19,11074,11074,,75.32
2018/3/20,10972,10972,,75.42
2018/3/22,10944,10944,,76.35
2018/3/23,10634,10634,,74.92
2018/3/26,10465,10465,,74.57
2018/3/27,10708,10708,,77.26
2018/3/28,10601,10601,,77.67
2018/3/29,10700,10700,,79.11
2018/3/30,10748,10748,,80.47
2018/4/2,10760,10760,,80.98
2018/4/3,10547,10547,,79.38
2018/4/4,10689,10689,,80.44
2018/4/5,10789,10789,,83.91
2018/4/6,10943,10943,,85.89
2018/4/9,10748,10748,,85.28
2018/4/10,10783,10783,,86.22
2018/4/11,10980,10980,,88.92
2018/4/12,10912,10912,,89.43
2018/4/13,11027,11027,,91.09
2018/4/16,11020,11020,,91.81
2018/4/17,11038,11038,,92.49
2018/4/18,11147,11147,,94.84
2018/4/19,11201,11201,,95.93
2018/4/20,11146,11146,,96.24
2018/4/23,11105,11105,,96.7
2018/4/24,11192,11192,,98.82
2018/4/25,11117,11117,0,100.14
2018/4/26,11151,11151,,101.15
2018/4/27,11229,11229,,103.77
2018/5/1,11197,11197,,104.08
2018/5/2,11244,11244,,105.39
2018/5/7,11188,11188,,106.65
2018/5/8,11226,11226,,107.61
2018/5/9,11251,11251,,107.85
2018/5/10,11411,11411,,111.51
2018/5/11,11458,11458,,112.84
2018/5/14,11474,11474,,113.81
2018/5/15,11527,11527,,115.45
2018/5/16,11510,11510,,117.39
2018/5/17,11545,11545,,118.86
2018/5/18,11620,11620,,120.67
2018/5/21,11597,11597,,121.39
2018/5/22,11670,11670,,123.36
2018/5/23,11638,11638,,125.34
2018/5/24,11480,11480,,124.61
2018/5/25,11440,11440,,125.14
2018/5/28,11406,11406,,125.63
2018/5/29,11354,11354,,125.84
2018/5/30,11119,11119,,123.24
2018/5/31,11284,11284,,127.04
2018/6/1,11250,11250,,127.17
2018/6/4,11433,11433,,130.33
2018/6/5,11514,11514,,132.57
2018/6/6,11509,11509,,133.78
2018/6/7,11632,11632,,135.92
2018/6/8,11597,11597,,136.44
2018/6/11,11557,11557,,136.73
2018/6/12,11682,11682,,138.73
2018/6/13,11704,11704,,140.29
2018/6/14,11666,11666,,140.67
2018/6/15,11697,11697,,141.54
2018/6/18,11656,11656,,142.17
2018/6/19,11585,11585,,142.51
2018/6/20,11502,11502,,142.87
2018/6/21,11568,11568,,144.22
2018/6/22,11461,11461,,144.2
2018/6/25,11483,11483,,145.46
2018/6/26,11306,11306,,143.99
2018/6/27,11348,11348,,146.5
2018/6/28,11291,11291,,146.69
2018/6/29,11375,11375,,148.78
2018/7/2,11469,11469,,151.03
2018/7/3,11461,11461,,151.58
2018/7/4,11402,11402,,152.89
2018/7/5,11404,11404,,154.02
2018/7/6,11525,11525,,155.65
2018/7/9,11599,11599,,158.09
2018/7/10,11754,11754,,160.82
2018/7/11,11767,11767,,162
2018/7/12,11781,11781,,163.29
2018/7/13,11943,11943,,165.75
2018/7/17,11915,11915,,166.38
2018/7/18,11994,11994,,168.09
2018/7/19,12004,12004,,169.37
2018/7/20,11947,11947,,168.28
2018/7/23,11792,11792,,166.87
2018/7/24,11812,11812,,167.78
2018/7/25,11882,11882,,170.13
2018/7/26,11898,11898,,171.4
2018/7/27,11913,11913,,172.8
2018/7/30,11877,11877,,173.55
2018/7/31,11822,11822,,173.5
2018/8/1,11960,11960,,177.23
2018/8/2,11914,11914,,177.67
2018/8/3,11915,11915,,180.87
2018/8/6,11904,11904,,181.77
2018/8/7,11939,11939,,183.34
2018/8/8,11999,11999,,186.16
2018/8/9,11938,11938,,186
2018/8/10,11922,11922,,186.54
2018/8/13,11751,11751,,184.6
2018/8/14,11731,11731,,185.87
2018/8/15,11837,11837,,189.18
2018/8/16,11645,11645,,188.32
2018/8/17,11766,11766,,192.07
2018/8/20,11776,11776,,193.36
2018/8/21,11767,11767,,194.07
2018/8/22,11835,11835,,196.92
2018/8/23,11893,11893,,196.6
2018/8/24,11938,11938,,198.36
2018/8/27,11986,11986,,199.88
2018/8/28,12090,12090,,202.77
2018/8/29,12093,12093,,202.82
2018/8/30,12214,12214,,205.61
2018/8/31,12076,12076,,204.09
2018/9/3,12015,12015,,203.68
2018/9/4,12029,12029,,204.8
2018/9/5,12032,12032,,204.85
2018/9/6,11949,11949,,206.57
2018/9/7,11818,11818,,205.21
2018/9/10,11828,11828,,206.15
2018/9/11,11917,11917,,208.52
2018/9/12,11965,11965,,211.45
2018/9/13,11979,11979,,212.92
2018/9/14,12110,12110,,216.19
2018/9/18,12048,12048,,216.51
2018/9/19,12156,12156,,218.91
2018/9/20,12188,12188,,221.19
2018/9/21,12329,12329,,224.55
2018/9/25,12331,12331,,225.56
2018/9/26,12329,12329,,226.1
2018/9/27,12301,12301,,227.45
2018/9/28,12381,12381,,229.74
2018/10/1,12388,12388,,231.61
2018/10/2,12425,12425,,233.22
2018/10/3,12345,12345,,234.21
2018/10/4,12435,12435,,236.42
2018/10/5,12306,12306,,234.52
2018/10/9,12055,12055,,230.53
2018/10/10,12064,12064,,231.67
2018/10/11,11665,11665,,225.98
2018/10/12,11428,11428,,222.88
2018/10/15,11509,11509,,226.29
2018/10/16,11464,11464,,229.48
2018/10/17,11729,11729,,238.51
2018/10/18,11726,11726,,240.53
2018/10/19,11546,11546,,238.37
2018/10/22,11564,11564,,239.73
2018/10/23,11539,11539,,240.32
2018/10/24,11417,11417,,239.5
2018/10/25,11094,11094,,233.49
2018/10/26,11277,11277,,238.35
2018/10/29,11075,11075,,235.41
2018/10/30,11097,11097,,237
2018/10/31,11291,11291,,241.43
2018/11/1,11383,11383,,244.34
2018/11/2,11519,11519,,248
2018/11/5,11516,11516,,248.61
2018/11/6,11553,11553,,250.32
2018/11/7,11605,11605,,253.81
2018/11/8,11847,11847,,259.29
2018/11/9,11859,11859,,260.65
2018/11/12,11742,11742,,258.86
2018/11/13,11506,11506,,254.2
2018/11/14,11558,11558,,258.09
2018/11/15,11455,11455,,256.6
2018/11/16,11524,11524,,259.53
2018/11/19,11465,11465,,259.55
2018/11/20,11312,11312,,257.11
2018/11/21,11131,11131,,254.19
2018/11/22,11223,11223,,257.55
2018/11/26,11147,11147,,256.76
2018/11/27,11346,11346,,261.35
2018/11/28,11377,11377,,265.36
2018/11/29,11567,11567,,270.93
2018/11/30,11551,11551,,271.57
2018/12/3,11613,11613,,273.64
2018/12/4,11746,11746,,277.79
2018/12/5,11378,11378,,272.3
2018/12/6,11346,11346,,272.17
2018/12/7,11234,11234,,269.49
2018/12/10,11048,11048,,266.63
2018/12/11,11051,11051,,267.96
2018/12/12,11119,11119,,271.89
2018/12/13,11211,11211,,276.03
2018/12/14,11226,11226,,277.97
2018/12/17,11029,11029,,274.77
2018/12/18,10783,10783,,269.55
2018/12/19,10736,10736,,270.7
2018/12/20,10637,10637,,269.97
2018/12/21,10376,10376,,264.81
2018/12/25,9889,9889,,253.87
2018/12/26,9946,9946,,256.02
2018/12/27,10310,10310,,265.41
2018/12/28,10346,10346,,266.32
2019/1/4,9957,9957,,262.24
2019/1/7,10358,10358,,273.82
2019/1/8,10452,10452,,281.05
2019/1/9,10538,10538,,285.51
2019/1/10,10570,10570,,288.1
2019/1/11,10632,10632,,291.18
2019/1/15,10567,10567,,290.95
2019/1/16,10656,10656,,294.78
2019/1/17,10733,10733,,299.48
2019/1/18,10836,10836,,303.55
2019/1/21,11002,11002,,309.05
2019/1/22,11001,11001,,310.05
2019/1/23,10854,10854,,305.9
2019/1/24,10878,10878,,310.78
2019/1/25,10908,10908,,312.36
2019/1/28,10980,10980,,315.06
2019/1/29,10880,10880,,313.69
2019/1/30,10911,10911,,316.27
2019/1/31,11016,11016,,319.76
2019/2/1,11079,11079,,321.95
2019/2/4,11156,11156,,325.86
2019/2/5,11256,11256,,332.83
2019/2/6,11320,11320,,336.49
2019/2/7,11296,11296,,336.72
2019/2/8,11172,11172,,333.73
2019/2/12,11248,11248,,336.98
2019/2/13,11377,11377,,339.93
2019/2/14,11447,11447,,344.44
2019/2/15,11375,11375,,343.89
2019/2/18,11517,11517,,349.88
2019/2/19,11522,11522,,352.09
2019/2/20,11571,11571,,353.61
2019/2/21,11603,11603,,356.85
2019/2/22,11573,11573,,356.93
2019/2/25,11643,11643,,359.77
2019/2/26,11691,11691,,362.33
2019/2/27,11652,11652,,362.4
2019/2/28,11675,11675,,364.23
2019/3/1,11720,11720,,366.73
2019/3/4,11837,11837,,371.8
2019/3/5,11790,11790,,374.57
2019/3/6,11758,11758,,374.17
2019/3/7,11698,11698,,373.42
2019/3/8,11586,11586,,368.88
2019/3/11,11481,11481,,366.21
2019/3/12,11690,11690,,372.67
2019/3/13,11698,11698,,374.53
2019/3/14,11787,11787,,378.36
2019/3/15,11861,11861,,381.13
2019/3/18,11892,11892,,382.75
2019/3/19,11916,11916,,385.51
2019/3/20,11961,11961,,388.51
2019/3/22,11910,11910,,387.36
2019/3/25,11604,11604,,378.47
2019/3/26,11622,11622,,380.01
2019/3/27,11725,11725,,384.48
2019/3/28,11662,11662,,383.42
2019/3/29,11755,11755,,387.08
2019/4/1,11843,11843,,390.8
2019/4/2,12010,12010,,396.82
2019/4/3,12040,12040,,402.38
2019/4/4,12098,12098,,404.7
2019/4/5,12127,12127,,405.75
2019/4/8,12132,12132,,405.87
2019/4/9,12148,12148,,406.21
2019/4/10,12061,12061,,404.81
2019/4/11,12094,12094,,406.33
2019/4/12,12168,12168,,410.19
2019/4/15,12268,12268,,414.41
2019/4/16,12266,12266,,416.27
2019/4/17,12291,12291,,418.7
2019/4/18,12266,12266,,419.51
2019/4/19,12268,12268,,420.35
2019/4/22,12266,12266,,420.63
2019/4/23,12259,12259,,420.39
2019/4/24,12350,12350,,423.5
2019/4/25,12344,12344,0,425.43
2019/4/26,12279,12279,,423.89
2019/5/7,12172,12172,,421.25
2019/5/8,11938,11938,,414.12
2019/5/9,11908,11908,,421
2019/5/10,11829,11829,,419.63
2019/5/13,11862,11862,,422.29
2019/5/14,11589,11589,,413.96
2019/5/15,11695,11695,,419.97
2019/5/16,11750,11750,,423.42
2019/5/17,11909,11909,,431.27
2019/5/20,11869,11869,,431.15
2019/5/21,11795,11795,,429.9
2019/5/22,11917,11917,,436.27
2019/5/23,11860,11860,,435.09
2019/5/24,11663,11663,,429.56
2019/5/27,11680,11680,,432.54
2019/5/28,11692,11692,,434
2019/5/29,11583,11583,,429.97
2019/5/30,11510,11510,,430.42
2019/5/31,11505,11505,,430.88
2019/6/3,11288,11288,,423.69
2019/6/4,11246,11246,,423.15
2019/6/5,11459,11459,,436.61
2019/6/6,11557,11557,,441.39
2019/6/7,11635,11635,,445.78
2019/6/10,11763,11763,,451.02
2019/6/11,11811,11811,,454.06
2019/6/12,11843,11843,,457.48
2019/6/13,11794,11794,,456.63
2019/6/14,11821,11821,,458.92
2019/6/17,11803,11803,,460.31
2019/6/18,11802,11802,,460.88
2019/6/19,11928,11928,,468.16
2019/6/20,11904,11904,,467.9
2019/6/21,11967,11967,,471.1
2019/6/24,11963,11963,,472.16
2019/6/25,11931,11931,,471.45
2019/6/26,11840,11840,,470.5
2019/6/27,11868,11868,,472.9
2019/6/28,11918,11918,,476.05
2019/7/1,12032,12032,,481.41
2019/7/2,12125,12125,,486.29
2019/7/3,12082,12082,,492.79
2019/7/4,12189,12189,,498.05
2019/7/5,12203,12203,,499.89
2019/7/8,12224,12224,,500.74
2019/7/9,12204,12204,,501.45
2019/7/10,12217,12217,,503.81
2019/7/11,12178,12178,,503.28
2019/7/12,12231,12231,,507.52
2019/7/16,12218,12218,,507.66
2019/7/17,12223,12223,,510.15
2019/7/18,12114,12114,,508.26
2019/7/19,12116,12116,,509.34
2019/7/22,12104,12104,,509.32
2019/7/23,12132,12132,,511.15
2019/7/24,12223,12223,,517.01
2019/7/25,12266,12266,,520.2
2019/7/26,12260,12260,,520.03
2019/7/29,12292,12292,,522.48
2019/7/30,12327,12327,,524.67
2019/7/31,12241,12241,,522.67
2019/8/1,12187,12187,,520.95
2019/8/2,11897,11897,,509.38
2019/8/5,11681,11681,,507.09
2019/8/6,11331,11331,,492.62
2019/8/7,11438,11438,,501.09
2019/8/8,11449,11449,,503.92
2019/8/9,11649,11649,,516.16
2019/8/13,11398,11398,,507.34
2019/8/14,11625,11625,,519.01
2019/8/15,11291,11291,,508.12
2019/8/16,11299,11299,,510.01
2019/8/19,11483,11483,,523.04
2019/8/20,11639,11639,,532.2
2019/8/21,11533,11533,,529.24
2019/8/22,11658,11658,,536.6
2019/8/23,11643,11643,,536.87
2019/8/26,11250,11250,,519.47
2019/8/27,11406,11406,,527.23
2019/8/28,11382,11382,,526.13
2019/8/29,11462,11462,,533.17
2019/8/30,11635,11635,,542.25
2019/9/2,11613,11613,,541.82
2019/9/3,11631,11631,,543.22
2019/9/4,11532,11532,,538.57
2019/9/5,11727,11727,,556.13
2019/9/6,11930,11930,,566.39
2019/9/9,11934,11934,,567.27
2019/9/10,11987,11987,,570.37
2019/9/11,12017,12017,,572.32
2019/9/12,12145,12145,,579
2019/9/13,12206,12206,,581.71
2019/9/17,12155,12155,,581.88
2019/9/18,12192,12192,,583.36
2019/9/19,12202,12202,,585.48
2019/9/20,12188,12188,,586.69
2019/9/24,12074,12074,,581.27
2019/9/25,11939,11939,,575.75
2019/9/26,12022,12022,,579.64
2019/9/27,12024,12024,,581.23
2019/9/30,12007,12007,,581.25
2019/10/1,12075,12075,,585.28
2019/10/2,11896,11896,,577.64
2019/10/3,11597,11597,,571.37
2019/10/4,11638,11638,,573.94
2019/10/7,11766,11766,,581.39
2019/10/8,11816,11816,,585.17
2019/10/9,11622,11622,,577.53
2019/10/10,11739,11739,,584.4
2019/10/11,11912,11912,,595.35
2019/10/15,12083,12083,,605.7
2019/10/16,12231,12231,,614.03
2019/10/17,12230,12230,,616.65
2019/10/18,12263,12263,,618.65
2019/10/21,12204,12204,,615.42
2019/10/23,12233,12233,,617.25
2019/10/24,12291,12291,,621.97
2019/10/25,12331,12331,,625.7
2019/10/28,12378,12378,,628.14
2019/10/29,12462,12462,,632.93
2019/10/30,12437,12437,,632.11
2019/10/31,12483,12483,,634.74
2019/11/1,12342,12342,,627.48
2019/11/5,12596,12596,,641.19
